fantasy_team,player_name,position,nba_team,status
Simon's Sensational Team,Brandon Ingram,"SG,G,SF,PF,F,Util",-,
Simon's Sensational Team,Derrick White,"PG,SG,G,Util",-,
Simon's Sensational Team,Toumani Camara,"SF,PF,F,Util",-,
Simon's Sensational Team,Karl-Anthony Towns,"PF,F,C,Util",-,
Simon's Sensational Team,Kel'el Ware,"PF,F,C,Util",-,
Simon's Sensational Team,Rudy Gobert,"C,Util",-,
Simon's Sensational Team,Donovan Clingan,"C,Util",-,
Simon's Sensational Team,Santi Aldama,"PF,F,C,Util",-,
Simon's Sensational Team,Kyle Kuzma,"SF,PF,F,Util",-,
Simon's Sensational Team,Luka Dončić,"PG,SG,G,Util,IL+",-,GTD
Simon's Sensational Team,Amen Thompson,"PG,SG,G,SF,F,Util,IL+",-,GTD
Simon's Sensational Team,De'Aaron Fox,"PG,SG,G,Util,IL,IL+",-,INJ
Simon's Sensational Team,Isaiah Collier,"PG,SG,G,Util,IL,IL+",-,INJ
Dantheman's Dazzling Team,Cade Cunningham,"PG,SG,G,Util",-,
Dantheman's Dazzling Team,Devin Booker,"PG,SG,G,Util",-,
Dantheman's Dazzling Team,Christian Braun,"SG,G,SF,F,Util",-,
Dantheman's Dazzling Team,Jimmy Butler III,"SF,PF,F,Util",-,
Dantheman's Dazzling Team,Jaren Jackson Jr.,"PF,F,C,Util",-,
Dantheman's Dazzling Team,Norman Powell,"SG,G,SF,F,Util",-,
Dantheman's Dazzling Team,Jarrett Allen,"C,Util",-,
Dantheman's Dazzling Team,Myles Turner,"C,Util",-,
Dantheman's Dazzling Team,Payton Pritchard,"PG,G,Util",-,
Dantheman's Dazzling Team,Jakob Poeltl,"C,Util",-,
Dantheman's Dazzling Team,Draymond Green,"PF,F,C,Util",-,
Dantheman's Dazzling Team,Luguentz Dort,"SG,G,SF,F,Util,IL+",-,GTD
Dantheman's Dazzling Team,Jonathan Kuminga,"SF,PF,F,Util",-,
Dantheman's Dazzling Team,Kyrie Irving,"PG,G,Util,IL,IL+",-,INJ
Thomas's Terrifying Team,Jaden Ivey,"PG,SG,G,Util,IL,IL+",-,INJ
Thomas's Terrifying Team,Anfernee Simons,"PG,SG,G,Util",-,
Thomas's Terrifying Team,Malik Monk,"SG,G,Util",-,
Thomas's Terrifying Team,Jalen Johnson,"SF,PF,F,Util",-,
Thomas's Terrifying Team,Anthony Davis,"PF,F,C,Util",-,
Thomas's Terrifying Team,Evan Mobley,"PF,F,C,Util",-,
Thomas's Terrifying Team,Bam Adebayo,"PF,F,C,Util",-,
Thomas's Terrifying Team,Kristaps Porziņģis,"PF,F,C,Util",-,
Thomas's Terrifying Team,Cooper Flagg,"SF,F,Util",-,
Thomas's Terrifying Team,Ausar Thompson,"SF,PF,F,Util",-,
