name,position,nba_team,status,ownership
Chris Paul,"PG,G,Util",-,,23%
Kyle Lowry,"PG,G,Util",-,,0
Al Horford,"PF,F,C,Util",-,,13%
Mike Conley,"PG,G,Util",-,,3%
Jeff Green,"PF,F,Util",-,,0
Kevin Love,"PF,F,C,Util",-,,0
Eric Gordon,"SG,G,SF,F,Util",-,,0
Brook Lopez,"C,Util",-,,18%
Nicolas Batum,"SF,PF,F,Util",-,,0
Garrett Temple,"PG,SG,G,Util",-,,0
Jonas Valančiūnas,"C,Util",-,,9%
Bismack Biyombo,"C,Util",-,,0
Klay Thompson,"SG,G,SF,F,Util",-,,32%
Damian Lillard,"PG,G,Util,IL,IL+",-,INJ,4%
Harrison Barnes,"SF,PF,F,Util",-,,4%
Andre Drummond,"C,Util",-,,1%
Khris Middleton,"SF,PF,F,Util",-,,16%
Kentavious Caldwell-Pope,"SG,G,SF,F,Util",-,,6%
Steven Adams,"C,Util",-,,10%
Kelly Olynyk,"PF,F,C,Util,IL,IL+",-,INJ,1%
Dennis Schröder,"PG,SG,G,Util",-,,33%
Mason Plumlee,"C,Util",-,,1%
Tim Hardaway Jr.,"SG,G,SF,F,Util",-,,1%
Danté Exum,"PG,SG,G,Util,IL,IL+",-,INJ,0
Marcus Smart,"PG,SG,G,Util",-,,5%
Doug McDermott,"SF,PF,F,Util",-,,0
Dario Šarić,"C,Util",-,,0
Jusuf Nurkić,"C,Util",-,,4%
Gary Harris,"SG,G,SF,F,Util",-,,0
Clint Capela,"C,Util",-,,4%
Bogdan Bogdanović,"SG,G,SF,F,Util",-,,3%
Kyle Anderson,"PF,F,Util",-,,0
Jerami Grant,"SF,PF,F,Util",-,,19%
Dwight Powell,"C,Util",-,,0
Jordan Clarkson,"PG,SG,G,Util",-,,10%
Thanasis Antetokounmpo,"PF,F,Util",-,,0
Joe Ingles,"SF,F,Util",-,,0
Kelly Oubre Jr.,"SF,PF,F,Util",-,,12%
Terry Rozier,"PG,G,Util",-,,1%
Tyus Jones,"PG,G,Util",-,,9%
Larry Nance Jr.,"PF,F,C,Util",-,,0
Kevon Looney,"C,Util,IL,IL+",-,INJ,1%
Pat Connaughton,"SG,G,SF,F,Util",-,,0
T.J. McConnell,"PG,G,Util,IL,IL+",-,INJ,14%
Kris Dunn,"PG,SG,G,Util",-,,2%
Buddy Hield,"SG,G,SF,F,Util",-,,17%
Taurean Prince,"SF,F,Util",-,,1%
Guerschon Yabusele,"PF,F,C,Util",-,,3%
Caris LeVert,"SG,G,SF,F,Util",-,,6%
Dejounte Murray,"PG,SG,G,Util,IL,IL+",-,INJ,32%
Georges Niang,"PF,F,Util,IL,IL+",-,INJ,0
Dorian Finney-Smith,"SF,PF,F,Util,IL,IL+",-,INJ,1%
Fred VanVleet,"PG,G,Util,IL,IL+",-,INJ,4%
Gary Payton II,"SG,G,Util",-,,1%
Derrick Jones Jr.,"SF,PF,F,Util",-,,1%
Alex Caruso,"SG,G,SF,F,Util,IL,IL+",-,INJ,17%
Lonzo Ball,"PG,SG,G,Util",-,,18%
Jayson Tatum,"SF,PF,F,Util,IL,IL+",-,INJ,23%
Jonathan Isaac,"SF,PF,F,Util",-,,1%
Zach Collins,"C,Util,IL,IL+",-,INJ,1%
Luke Kennard,"PG,SG,G,Util",-,,1%
Tony Bradley,"C,Util",-,,0
Thomas Bryant,"C,Util",-,,0
Dillon Brooks,"SF,PF,F,Util",-,,14%
Maxi Kleber,"PF,F,C,Util,IL,IL+",-,INJ,0
Chris Boucher,"PF,F,C,Util",-,,8%
Luke Kornet,"C,Util",-,,3%
Royce O'Neale,"SF,PF,F,Util",-,,3%
Nigel Hayes-Davis,"PF,F,Util",-,,0
Marvin Bagley III,"PF,F,C,Util",-,,0
Wendell Carter Jr.,"C,Util",-,,20%
Collin Sexton,"PG,SG,G,Util",-,,28%
Donte DiVincenzo,"PG,SG,G,Util",-,,36%
Kevin Huerter,"SG,G,SF,F,Util",-,,2%
Josh Okogie,"SG,G,SF,F,Util",-,,0
Grayson Allen,"SG,G,SF,F,Util",-,,12%
Aaron Holiday,"PG,SG,G,Util",-,,0
Moritz Wagner,"C,Util,IL,IL+",-,INJ,1%
Landry Shamet,"SG,G,SF,F,Util",-,,0
Robert Williams III,"C,Util,IL,IL+",-,INJ,0
Jevon Carter,"PG,SG,G,Util",-,,0
Mitchell Robinson,"C,Util,IL,IL+",-,INJ,9%
Jarred Vanderbilt,"PF,F,C,Util",-,,1%
Bruce Brown,"SG,G,Util",-,,1%
De'Anthony Melton,"PG,SG,G,Util,IL,IL+",-,INJ,1%
Svi Mykhailiuk,"SF,F,Util",-,,0
Duncan Robinson,"SG,G,SF,F,Util",-,,4%
